#{"t_start": 1530713429.4165452, "env_id": "Humanoid-v2"}
r,l,t
263.735329,57,55.213051
398.940616,79,55.338704
333.210809,68,55.444236
274.877793,55,55.531509
392.660575,86,55.667646
421.936357,84,55.804871
202.275609,46,55.878975
232.838287,49,55.958604
286.512865,59,56.053267
167.972302,40,56.114629
262.721286,60,56.209059
367.171787,77,56.359212
317.615298,63,56.446201
414.915523,92,56.5808
376.799961,89,56.723983
322.073903,62,56.811319
336.293697,65,56.899065
248.728492,51,56.96751
262.153313,52,57.039683
332.765434,65,57.128128
185.948017,41,57.184241
331.177854,67,57.278561
356.637275,76,57.382163
143.995231,30,57.420902
371.749304,79,60.473785
347.682127,77,60.577935
441.375948,91,60.70484
400.635824,82,60.818686
429.210042,92,60.942899
260.67549,52,61.013105
275.051279,54,61.087281
336.321523,72,61.185865
406.835224,92,61.310426
189.889975,47,61.374793
232.799886,48,61.439744
450.739306,95,61.570002
219.018447,45,61.630896
257.932073,50,61.700333
245.343703,58,61.778801
258.12618,52,61.847851
425.078398,89,61.970545
295.081616,61,62.056134
326.65069,64,62.143443
224.938084,47,62.207356
284.168571,61,62.289709
269.63686,53,62.364199
385.898056,84,62.479651
217.612111,43,62.537462
374.708614,77,62.641766
524.158633,105,62.790152
271.654305,53,62.863266
338.634413,69,62.957084
328.337247,65,63.046779
313.33341,64,63.134214
234.060984,48,66.413841
350.842909,82,66.527009
246.641862,51,66.597553
310.026025,59,66.678938
319.03139,65,66.768373
305.493555,60,66.850391
286.130944,56,66.92811
435.983572,98,67.063905
406.028857,79,67.173641
353.773647,70,67.270536
183.472235,40,67.323887
287.568518,56,67.399277
262.264353,55,67.472966
306.374057,63,67.557222
369.729647,76,67.661891
224.121893,46,67.724707
399.630137,89,67.846806
258.615486,56,67.920567
329.702229,77,68.028364
259.573432,53,68.100356
421.130898,86,68.222736
295.996626,58,68.302914
388.038464,93,68.472127
326.793433,70,68.581047
265.160713,52,68.652549
311.048774,65,68.742982
317.156542,74,68.865218
258.069334,53,68.961999
339.339857,72,69.078464
287.024915,56,69.157029
281.779265,56,69.235503
345.52453,65,69.354522
579.930665,108,72.771299
266.218416,53,72.853499
156.839281,35,72.910691
95.634294,21,72.942765
415.020519,80,73.073385
294.320437,66,73.176759
391.616598,83,73.30063
282.563375,56,73.386638
241.526258,52,73.470295
322.732004,65,73.574302
459.666353,93,73.723319
326.721437,66,73.833607
491.747264,101,74.000307
284.759005,57,74.121979
324.609494,61,74.251853
496.440107,102,74.444573
478.071587,91,74.576804
228.93763,47,74.642075
487.070865,95,74.775253
275.635961,55,74.859149
345.3069,67,74.990768
357.148294,72,75.107716
345.789685,70,75.219646
309.968286,62,75.335691
285.307516,58,75.442561
256.582136,56,75.547427
390.232581,78,75.671391
238.853285,54,75.746956
332.474593,70,75.846287
314.199307,59,75.926519
325.56052,65,78.64078
241.060804,52,78.710372
214.195866,41,78.766758
355.977515,69,78.860705
296.013566,70,78.956918
366.916712,74,79.058407
344.648337,71,79.153976
409.351853,81,79.261854
418.870222,88,79.38377
322.22887,61,79.467854
184.098781,38,79.521188
327.414687,67,79.611726
195.079313,44,79.670067
378.735131,88,79.792542
286.952801,64,79.879771
255.109218,59,79.959871
274.176667,60,80.042402
332.296087,72,80.13983
316.794103,63,80.226211
209.613504,45,80.284836
519.840221,102,80.424736
389.275636,75,80.527719
487.122033,96,80.659719
391.611845,78,80.766114
391.16318,76,80.868894
322.513084,66,80.960195
408.040118,83,81.074919
255.570378,57,81.155113
517.760734,103,81.297018
413.58636,80,84.603514
333.550858,69,84.756969
365.560499,75,84.878456
356.452139,81,84.999119
212.895489,45,85.06755
275.867201,60,85.159254
367.165111,72,85.270653
462.989453,100,85.444828
283.984343,61,85.533389
418.525128,83,85.654269
347.233849,74,85.759914
340.18787,78,85.872191
292.15301,67,85.967119
345.658808,69,86.076733
274.950578,55,86.162967
274.559408,61,86.262162
267.482121,56,86.366264
478.046494,91,86.561162
203.958246,42,86.637009
212.59827,42,86.700923
380.215373,86,86.859033
414.907516,80,86.98187
394.352467,80,87.103425
331.463473,64,87.202733
267.268767,63,87.301157
432.255137,86,87.441684
526.920817,107,87.649318
339.957943,66,87.77764
309.515003,68,87.895808
398.815961,81,90.687378
742.216329,145,91.004256
262.322136,51,91.085384
362.883041,81,91.225133
377.161015,71,91.372869
431.301567,88,91.527021
343.092763,70,91.642862
304.401542,59,91.744797
409.292377,82,91.863675
378.531153,80,91.994231
387.037869,74,92.149364
365.48593,67,92.300562
308.124701,60,92.398587
309.233524,67,92.515162
364.463272,76,92.642228
316.438548,72,92.747658
213.960898,45,92.824698
360.649455,77,92.954007
309.692075,69,93.088321
381.993715,75,93.210953
292.172296,60,93.300056
299.586479,62,93.407369
302.297541,65,93.52093
374.11684,84,93.647984
393.241981,78,93.763862
267.427438,53,93.848145
289.123347,57,93.95725
168.676433,35,94.018419
372.237326,87,94.163568
353.983994,76,96.722759
250.546592,54,96.818004
276.231088,60,96.92405
501.358117,103,97.105593
333.4661,71,97.227551
402.402374,80,97.364742
252.130087,48,97.437728
400.056486,75,97.557926
423.267375,97,97.725423
327.980231,70,97.837077
426.289191,96,97.984989
381.70584,76,98.096606
405.77604,79,98.216629
318.559588,66,98.313994
240.283969,47,98.38378
516.609263,102,98.541998
355.047922,68,98.65041
242.105949,49,98.728182
458.770854,92,98.889565
358.022902,71,98.99949
247.770847,50,99.075671
420.897205,79,99.198794
398.208018,76,99.338605
294.806986,62,99.440108
340.963853,67,99.553657
389.416091,78,99.698828
384.66219,79,99.820919
317.499176,64,99.913442
236.732193,51,102.601624
578.365584,134,102.843
415.882447,86,102.98501
410.241314,77,103.109652
239.181806,52,103.198373
465.805406,101,103.364357
388.35742,79,103.5107
395.798878,83,103.667141
376.852569,75,103.787972
438.103358,88,103.925521
