#{"env_id": "Humanoid-v2", "t_start": 1530713429.5316768}
r,l,t
390.377954,76,55.24244
290.362922,62,55.359541
323.275692,69,55.508711
265.649695,61,55.62109
487.827703,96,55.785874
115.443526,26,55.844046
273.997551,59,55.953777
199.173348,39,56.024694
198.469491,41,56.109932
314.346199,66,56.221185
399.574699,80,56.368941
402.083105,81,56.504845
257.322728,55,56.584907
441.066485,87,56.738845
175.504035,42,56.817822
296.291844,57,56.909034
177.14325,36,56.971845
145.707013,30,57.015644
149.552281,32,57.083318
388.696954,74,57.245564
230.763812,46,57.345556
183.465403,35,57.417691
204.08805,41,57.503616
366.344152,81,57.678925
227.860625,49,57.766659
304.785822,57,57.85565
297.681322,62,57.953438
393.487107,80,60.374416
213.789249,45,60.438702
262.438717,56,60.524858
242.998335,53,60.614961
227.25842,46,60.699125
450.329575,92,60.846094
201.548424,43,60.909374
262.197231,52,60.987935
360.655206,73,61.099259
199.390891,40,61.159394
429.510342,91,61.332466
206.362392,46,61.409087
383.38167,75,61.524326
252.36024,48,61.622559
468.623434,98,61.793472
267.296658,56,61.898605
193.498248,39,61.954266
309.910042,62,62.053979
338.878978,65,62.155351
369.761916,76,62.271291
103.026121,22,62.304415
391.330367,79,62.445735
311.438861,65,62.560486
305.135209,62,62.669261
249.90155,49,62.748271
192.110117,43,62.827524
317.496985,61,62.932496
199.138478,40,63.005966
392.033623,84,63.176832
337.044587,67,63.305426
305.651304,59,63.42212
404.523597,76,63.55328
370.972209,72,63.669708
405.279496,79,66.339815
461.424096,100,66.492199
230.437269,52,66.573903
393.94536,78,66.69422
250.1319,51,66.777527
254.411197,52,66.873962
274.126413,58,66.977936
313.893133,71,67.101638
273.718167,55,67.207208
296.468611,58,67.316568
311.175182,64,67.42232
223.162929,47,67.498337
321.527059,63,67.620637
416.760049,88,67.764834
290.09087,64,67.891359
198.908419,43,67.969508
382.400804,74,68.126958
258.277434,54,68.231937
319.710403,62,68.341676
288.325548,58,68.446129
283.23032,55,68.531556
223.152944,48,68.599212
209.473835,49,68.684159
300.684807,61,68.794533
288.995871,61,68.907704
348.817454,68,69.018958
271.782813,54,69.099947
482.081475,92,69.255535
283.034879,54,69.35587
364.70235,71,69.49288
421.708196,92,69.641192
469.92308,104,69.829649
337.947787,69,72.573406
253.508559,49,72.646278
277.856189,60,72.749849
285.600556,62,72.844191
285.601536,57,72.939577
374.879414,71,73.095256
344.820585,71,73.214807
325.305466,63,73.327575
369.100327,81,73.458134
404.689259,80,73.588179
274.427296,69,73.697649
291.190411,67,73.806372
351.011927,68,73.942494
420.792638,81,74.116204
303.81383,62,74.244619
235.956439,48,74.327882
283.865625,60,74.42953
275.036098,73,74.563625
306.142879,67,74.699267
391.14323,78,74.812049
218.961292,44,74.87745
383.821027,85,75.016719
361.264605,69,75.139704
395.28314,80,75.278998
548.669476,111,75.467748
252.021602,50,75.551129
357.962871,71,75.689867
304.76536,70,75.80795
367.899803,70,75.934424
365.750156,72,76.057087
311.653822,62,78.561641
343.150225,67,78.687253
403.363038,83,78.820627
310.072783,60,78.922663
408.469958,83,79.061311
371.440582,69,79.178431
288.854403,56,79.286652
220.061752,48,79.387473
392.670979,85,79.570288
548.75948,116,79.806336
302.552404,62,79.943523
292.106117,60,80.057331
391.064999,78,80.222009
331.113364,65,80.343847
377.162044,82,80.50325
306.050503,60,80.599806
285.346678,65,80.717437
369.235244,73,80.84988
456.21813,94,81.0227
314.482886,71,81.148196
319.030369,64,81.273192
106.822136,22,81.316575
283.415667,56,81.414912
286.903691,64,81.50695
388.006834,79,81.633535
285.094269,63,81.736535
318.557674,63,81.842769
317.209861,63,81.954719
387.094816,76,82.070968
352.193889,66,82.188545
270.602989,52,84.543264
304.907148,62,84.647694
422.21681,78,84.772134
339.665566,77,84.927632
289.848728,63,85.048981
271.749278,53,85.144809
385.547041,75,85.288332
375.870057,74,85.445337
232.121595,51,85.545099
304.483111,60,85.638659
287.481486,56,85.743865
208.199452,45,85.828648
362.582165,76,85.968824
289.650765,56,86.073992
247.861521,54,86.155911
345.382934,73,86.287114
319.773717,63,86.39364
402.950899,81,86.532178
323.191341,65,86.64755
427.069055,83,86.816534
259.597821,51,86.918036
329.679889,65,87.042212
283.476087,55,87.125241
274.966206,58,87.217103
227.776722,45,87.284418
336.910587,71,87.415282
363.165587,72,87.539323
275.823094,57,87.648763
327.226047,65,87.768839
302.799484,65,87.888494
466.870011,95,88.03746
282.568239,58,90.525049
239.255287,51,90.607932
343.926398,65,90.745069
351.419813,69,90.872841
323.819562,63,90.978153
542.101217,116,91.208482
235.3526,46,91.281917
265.949187,51,91.375438
401.886185,84,91.505016
348.740718,68,91.6244
357.109593,71,91.748816
226.618966,48,91.852296
405.097628,79,92.000993
529.050514,107,92.196527
263.578696,61,92.306958
317.012295,62,92.424968
377.206964,71,92.542405
237.527798,55,92.642256
253.732622,55,92.74793
277.982487,53,92.821819
417.476131,83,92.955567
275.631109,55,93.042376
379.581054,73,93.202761
263.458415,65,93.31755
281.700237,58,93.424568
287.111166,61,93.527178
373.312491,74,93.648704
354.403629,73,93.797699
248.138877,51,93.908699
386.421019,80,94.05618
211.760753,48,94.14104
295.363403,57,96.552593
378.639527,90,96.745447
276.958524,56,96.849965
316.258127,62,96.95843
412.384281,78,97.079671
619.106819,133,97.301363
286.393448,66,97.417346
284.854694,59,97.522841
